title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Medina Natural,JBC Coffee Roasters,93,"Madison, Wisconsin","Antigua growing region, Guatemala",Medium-Light,58/76,$20.50/12 ounces,August 2021,9,8,9,9,8,,
Sadah Kuhlani Yemen,Barrington Coffee Roasting,93,"Lee, Massachusetts","Sa’dah Governorate, Yemen",Light,62/80,$39.95/12 ounces,August 2021,9,8,9,9,8,,
Gura Kenya,JBC Coffee Roasters,93,"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/77,$22.00/12 ounces,August 2021,9,8,9,9,8,,
Ethiopia Nano Genji,Temple Coffee Roasters,92,"Sacramento, California","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,$21.50/12 ounces,August 2021,9,8,8,9,8,,
Durango Espresso,Durango Coffee Company,91,"Durango, Colorado",Not disclosed,Medium,45/59,$13.20/12 ounces,August 2021,8,,8,8,8,9,
Espresso Nuevo,Paradise Roasters,93,"Minneapolis, Minnesota",Colombia; Brazil; Indonesia,Medium,45/61,$14.95/12 ounces,August 2021,9,,8,9,8,9,
Golden Parrot Blend,Kakalove Cafe,95,"Chia-Yi, Taiwan",Guatemala; Colombia; Ethiopia,Medium,50/67,NT $210/8 ounces,August 2021,9,,9,9,9,9,
Bull Demon King,Simon Hsieh Aroma Roast Coffees,96,"Taoyuan, Taiwan",Colombia; Peru; Rwanda; Ethiopia,Medium-Dark,35/48,NT $550/8 ounces,August 2021,9,,9,9,9,10,
Dharma Espresso Blend,Temple Coffee Roasters,92,"Sacramento, California",Brazil; Ethiopia; Colombia,Medium,46/60,$16.50/12 ounces,August 2021,8,,9,8,8,9,
Tanzania Gesha Peaberry,Paradise Roasters,95,"Minneapolis, Minnesota","Ngorongoro, Tanzania",Light,62/80,$74.95/4 ounces,August 2021,9,9,9,9,9,,
Ethiopia Natural Guji D Minor 21/01,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,64/84,NT $375/8 ounces,August 2021,9,9,9,9,9,,
Ethiopia Hambela Yellow Honey James Selection,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $410/8 ounces,August 2021,9,9,9,9,9,,
Costa Rica Black Honey,Kakalove Cafe,94,"Chia-Yi, Taiwan",Costa Rica,Medium-Light,58/76,NT $275/8 ounces,August 2021,9,9,9,9,8,,
Costa Rica La Florida Red Honey Espresso,Kakalove Cafe,95,"Chia-Yi, Taiwan","Copey District, Costa Rica",Medium-Light,54/78,NT $300/8 ounces,August 2021,9,,9,9,9,9,
Blue Sky Breakfast Blend,Paradise Roasters,93,"Minneapolis, Minnesota",Not disclosed,Medium-Light,58/76,$14.95/12 ounces,August 2021,9,8,9,9,8,,
Ethiopia Yirgacheffe Botabaa Washed G1 21/01,Kakalove Cafe,94,"Chia-Yi, Taiwan","ochere Woreda, Gedeo Zone, Ethiopia",Medium-Light,60/80,NT $290/8 ounces,August 2021,9,9,9,9,8,,
Costa Rica Black Honey,Kakalove Cafe,94,"Chia-Yi, Taiwan",Costa Rica,Medium-Light,58/76,NT $275/8 ounces,August 2021,9,9,9,9,8,,
Colombia Black Condor,Durango Coffee Company,91,"Durango, Colorado","Vereda, Huila Province, Colombia",Medium-Light,56/74,$19.95/12 ounces,July 2021,8,8,8,9,8,,
Kabiufa Papua New Guinea,JBC Coffee Roasters,94,"Madison, Wisconsin","Kabiufa, Eastern Highlands, Papua New Guinea",Light,60/82,$16.00/12 ounces,July 2021,9,9,9,9,8,,
Colombia Finca Santa Maria,SkyTop Coffee,95,"Manlius, New York","Aratoca, Santander Department, Colombia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9,9,9,9,9,,
Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,GK Coffee,94,"Yilan, Taiwan","El Guarco, Cartago Province, Costa Rica",Light,62/80,NT $600/200 grams,July 2021,9,9,9,9,8,,
Colombia Wush Wush,SkyTop Coffee,94,"Manlius, New York","Santander Department, Colombia",Medium,56/64,$27.00/12 ounces,July 2021,9,9,9,9,8,,
Brazil Gauriroba Natural,SOT Coffee Roaster,94,"Osaka, Japan","Minas Gerais State, southeastern Brazil",Light,82/104,¥2980/100 grams,July 2021,9,9,9,9,8,,
Rwanda “Silverback Returns”,Simon Hsieh Aroma Roast Coffees,94,"Taoyuan, Taiwan","Rutsiro District, western Rwanda",Medium-Dark,42/58,NT $800/8 ounces,July 2021,9,,9,9,8,9,
Peru “El Dorado”,Simon Hsieh Aroma Roast Coffees,93,"Taoyuan, Taiwan","Jaen, Cajamarca, Peru",Medium-Dark,40/60,NT $600/8 ounces,July 2021,8,,9,9,8,9,
Brazil Ipanema Golden Edition C26 Lychee,GK Coffee,94,"Yilan, Taiwan","Ipanema, Brazil",NA,0/0,NT $200/160-ml bottle,July 2021,9,,9,9,8,9,
Dead Reckoning,Corvus Coffee Roasters,93,"Denver, Colorado",Ethiopia; Brazil,NA,0/0,$14.00/four 8-ounce cans,July 2021,9,,8,9,9,8,
Gigesa Natural,JBC Coffee Roasters,95,"Madison, Wisconsin","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9,9,9,9,9,,
El Jocote Natural,JBC Coffee Roasters,95,"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",Medium-Light,60/78,$16.00/8 ounces,July 2021,9,9,9,9,9,,
Kona Maragogype Peaberry Natural,Rusty’s Hawaiian,95,"Pahala, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,58/80,$25.00/4 ounces,June 2021,9,9,9,9,9,,
Nyeri Hill Kenya,JBC Coffee Roasters,95,"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/80,$20.50/12 ounces,June 2021,9,9,9,9,9,,
La Perla Chiquita Ecuador,JBC Coffee Roasters,95,"Madison, Wisconsin","Pichincha Province, Ecuador",Medium-Light,56/76,$21.00/12 ounces,June 2021,9,,9,9,9,,9
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,$17.90/12 ounces,June 2021,9,,9,9,8,9,
Las Flores Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","San Isidro, Acevedo, Huila, Colombia",Medium-Light,58/78,$20.00/12 ounces,June 2021,9,9,9,9,8,,
Snowfield Espresso Blend,RamsHead Coffee Roasters,93,"Bozeman, Montana",Colombia; El Salvador; Ethiopia,Medium,49/63,$16.95/12 ounces,June 2021,9,,8,9,8,9,
Pandemic Pacamara Blend,RamsHead Coffee Roasters,93,"Bozeman, Montana",El Salvador; Guatemala,Medium,52/68,$15.95/12 ounces,June 2021,9,8,9,9,8,,
Nicaragua Yellow Pacamara Natural,Paradise Roasters,94,"Minneapolis, Minnesota","Matagalpa, Nicaragua",Light,62/80,$29.95/4 ounces,June 2021,9,9,9,9,8,,
Ethiopia West Arsi Nensebo Natural G1,Pro Aroma Enterprise Coffee,95,"Taichung City, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,52/70,$24.00/12 ounces,June 2021,9,9,9,9,9,,
Ethiopia Sidama Bona Sweet Natural,Pro Aroma Enterprise Coffee,94,"Taichung City, Taiwan","Sidamo Zone, Oromia Region, Ethiopia",Light,62/80,$20.00/12 ounces,June 2021,9,9,9,9,8,,
Tanzania Sambewe,Roadmap CoffeeWorks,94,"Lexington, Virginia","Songwe Region, Mbozi District, Tanzania",Medium-Light,58/78,$16.95/12 ounces,June 2021,9,9,9,9,8,,
Rwanda Kinini Village Natural,PT's Coffee Roasting Co.,94,"Topeka, Kansas","Northern Province, Rwanda",Medium-Light,58/78,$21.50/12 ounces,June 2021,9,9,9,9,8,,
Rwanda Akagera CWS Fully Washed Lot 9,Kakalove Cafe,93,"Chia-Yi, Taiwan","Nyaruguru District, Rwanda",Medium-Light,58/78,NT $220/8 ounces,June 2021,9,8,9,9,8,,
Tanzania Ngila Estate SL28,Paradise Roasters,95,"Minneapolis, Minnesota","Ngorogoro, Tanzania",Light,60/84,$24.95/12 ounces,June 2021,9,9,9,9,9,,
Ethiopia Washed Sidama Nafasha 74158 21/01,Kakalove Cafe,96,"Chia-Yi, Taiwan","Sidama Zone, Oromia Region, Ethiopia",Medium-Light,60/78,NT $290/8 ounces,June 2021,9,9,9,10,9,,
Taiwan Natural Alishan TFU’YA Kakalove Lot,Kakalove Cafe,95,"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Medium-Light,58/78,NT $700/4 ounces,June 2021,9,9,9,9,9,,
Ethiopia Natural Guji Blue Donkey 21/01,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,60/82,NT $325/8 ounces,June 2021,9,9,9,9,9,,
Kenya Nyeri Gachatha Washed AB,Kakalove Cafe,94,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/76,NT $325/8 ounces,June 2021,9,9,9,9,8,,
Rwanda Natural Rutsiro Bugoyi 60-hour Fermentation,Kakalove Cafe,93,"Chia-Yi, Taiwan","Rutsiro, Western Province, Rwanda",Medium-Light,59/79,NT $300/8 ounces,June 2021,9,8,9,9,8,,
Ethiopia Yirgacheffe G1 Mulugeta Tsige,GK Coffee,95,"Yilan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/78,NT $500/200 grams,June 2021,9,9,9,9,9,,
Kenya AA Top Gathambi Station,GK Coffee,94,"Yilan, Taiwan","Kirinyaga, Kenya",Medium-Light,58/76,NT $550/200 grams,June 2021,9,9,9,9,8,,
Ethiopia Guji Gerba Station G1 Natural Espresso,GK Coffee,94,"Yilan, Taiwan","Gerbicho Rogicha, Bule Hora District, Guji Zone, Oromia Region, Ethiopia",Medium-Light,56/76,NT $450/200 grams,June 2021,9,,9,9,8,9,
Ethiopia Uraga Washed G1,RamsHead Coffee Roasters,94,"Bozeman, Montana","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$17.95/12 ounces,May 2021,9,9,9,9,8,,
Rwanda Nyruzisa Station,Jackrabbit Java,92,"Thermopolis, Wyoming","Nyamagabe District, Southern Province, Rwanda",Medium-Light,60/78,$14.00/12 ounces,May 2021,9,8,8,9,8,,
Kenya Lenana AA Plus,RamsHead Coffee Roasters,92,"Bozeman, Montana","Mount Kenya growing region, Kenya",Medium-Light,56/74,$17.95/12 ounces,May 2021,8,8,9,9,8,,
Ethiopia Sidamo Natural Water Decaf,Jackrabbit Java,91,"Thermopolis, Wyoming","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,56/74,$14.00/12 ounces,May 2021,8,8,8,9,8,,
Grizzly Peak Blend,RamsHead Coffee Roasters,92,"Bozeman, Montana",El Salvador; Colombia; Ethiopia,Medium-Light,60/78,$15.95/12 ounces,May 2021,9,8,8,9,8,,
Norte Peru,JBC Coffee Roasters,93,"Madison, Wisconsin","Jaén Province, Cajamarca Region, Peru",Medium-Light,56/74,$15.80/12 ounces,May 2021,9,8,9,9,8,,
La Soledad Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","Urrao, Antioquia Department, Colombia",Medium-Light,58/80,$18.00/8 ounces,May 2021,9,9,9,9,8,,
La Estrella Carbonic Geisha Reserve,Corvus Coffee Roasters,95,"Denver, Colorado","Tolima Department, Colombia",Medium-Light,59/77,$30.00/150-gram tin,May 2021,9,9,9,9,9,,
Ethiopia Guji Wush Wush,Paradise Roasters,95,"Minneapolis, Minnesota","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/77,$24.95/12 ounces,May 2021,9,9,9,9,9,,
Panama Elida Estate Catuaí Natural ASD,Willoughby's Coffee & Tea,94,"Branford, Connecticut","Boquete growing region, western Panama",Medium-Light,58/76,$32.99/16 ounces,May 2021,9,9,9,9,8,,
Villa Loyola Carbonic Maceration,PT's Coffee Roasting Co.,93,"Topeka, Kansas","Pasto, Nariño Department, Colombia",Medium-Light,58/78,$20.00/12 ounces,May 2021,9,8,9,9,8,,
The World Espresso Blend,Euphora Coffee,93,"Taipei, Taiwan",Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Medium-Light,54/70,$10.00/16 ounces,May 2021,9,,9,8,8,9,
Ethiopia Sidamo Euphora Special Lot,Euphora Coffee,93,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,58/80,$10.00/8 ounces,May 2021,9,8,9,9,8,,
Papua New Guinea Tsekaka,Magnolia Coffee,92,"Charlotte, North Carolina","Banz, Jiwaka Province, Papua New Guinea",Medium-Light,54/72,$16.00/12 ounces,May 2021,8,8,9,9,8,,
Kona Maragogype Natural,Paradise Roasters,94,"Minneapolis, Minnesota","Kainaliu, Kona, Big Island of Hawai’i",Medium-Light,58/82,$29.95/4 ounces,April 2021,9,9,9,9,8,,
Thung Chang Robusta Honey Espresso,Paradise Roasters,92,"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9,,8,9,8,8,
Thung Chang Robusta Honey,Paradise Roasters,90,"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9,7,8,9,7,,
Ethiopia Kochere G1,David's Nose,93,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/74,NT $400/8 ounces,April 2021,9,8,9,9,8,,
Life in Dihua Street Espresso Blend,David's Nose,93,"Taipei, Taiwan",Ethiopia; Nicaragua; Guatemala,Medium-Light,58/76,NT $450/8 ounces,April 2021,8,,9,9,8,9,
Kenya Washed Nakuru Gachombe Factory AB,Kakalove Cafe,95,"Chia-Yi, Taiwan","Nakuru County, Kenya",Medium-Light,56/78,NT $210/8 ounces,April 2021,9,,9,9,9,9,
Ethiopia Natural Guji Hambella Wate Peaberry,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,62/84,NT $375/8 ounces,April 2021,9,9,9,9,9,,
Ethiopia Natural Guji,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,56/76,NT $210/8 ounces,April 2021,9,,9,9,8,9,
Costa Rica Yellow Honey Kinka Bear Lot 20-02,Kakalove Cafe,94,"Chia-Yi, Taiwan",Costa Rica,Medium-Light,52/70,NT $250/8 ounces,April 2021,9,,9,9,8,9,
Kenya Washed Nyeri Gichathaini Factory AB,Kakalove Cafe,94,"Chia-Yi, Taiwan","yeri growing region, south-central Kenya",Medium-Light,60/78,NT $390/8 ounces,April 2021,9,9,9,9,8,,
Karatina Kenya,JBC Coffee Roasters,95,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium-Light,60/78,$22.00/12 ounces,April 2021,9,9,9,9,9,,
Cerro Azul Geisha,JBC Coffee Roasters,95,"Madison, Wisconsin","Trujillo, Valle del Cauca Department, Colombia",Light,62/80,$28.00/8 ounces,April 2021,9,9,9,9,9,,
Haraaz Red,JBC Coffee Roasters,95,"Madison, Wisconsin","Haraaz growing region, Yemen",Medium-Light,58/82,$17.50/8 ounces,April 2021,9,9,9,9,9,,
Las Brisas Colombia,JBC Coffee Roasters,93,"Madison, Wisconsin","Paez region, Cauca Department, Colombia",Medium-Light,58/78,$16.20/12 ounces,April 2021,9,9,8,9,8,,
Costa Rica Gesha Tobosi Natural,RamsHead Coffee Roasters,93,"Bozeman, Montana","El Guarco, Cartago Province, Costa Rica",Medium-Light,58/80,$29.95/12 ounces,April 2021,9,8,9,9,8,,
Ethiopia Harsu Haro Single-Origin Espresso,Temple Coffee Roasters,93,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,54/72,$23.00/12 ounces,April 2021,9,,8,9,8,9,
Sumatra Kerinci Highlands Honey,RamsHead Coffee Roasters,92,"Bozeman, Montana","Kerinci Highlands, Jambi Province, Sumatra, Indonesia",Medium-Light,54/72,$17.95/12 ounces,April 2021,9,8,8,9,8,,
Kona Mocca®,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/74,$87.50/8 ounces,April 2021,9,9,9,10,9,,
Panama Elida Green-Tip Geisha La Torre ASD,Willoughby's Coffee & Tea,95,"Branford, Connecticut","Boquete growing region, western Panama",Light,62/84,$120.00/16 ounces,April 2021,9,9,9,9,9,,
Yemen Al Mashtal Al Burhani,Paradise Roasters,94,"Minneapolis, Minnesota","Haraaz growing region, Yemen",Medium-Light,58/78,$24.95/4 ounces,April 2021,9,9,9,9,8,,
Reina de la Asuncion Ecuador,JBC Coffee Roasters,93,"Madison, Wisconsin","Congonama, Loja region, Ecuador",Medium-Light,58/76,$19.75/12 ounces,April 2021,9,9,8,9,8,,
Colombia Finca El Vergal Geisha/Java Natural,Paradise Roasters,93,"Minneapolis, Minnesota","Algeciras, Huila, Colombia",Light,62/80,$19.95/6 ounces,April 2021,9,8,9,9,8,,
Nayamasasa Democratic Republic of the Congo,Roadmap CoffeeWorks,93,"Lexington, Virginia","South Kivu Province, Democratic Republic of the Congo",Medium-Light,60/80,$18.95/12 ounces,April 2021,9,9,8,9,8,,
Colombia Chiroso Natural,Paradise Roasters,93,"Minneapolis, Minnesota","Caicedo, Antioquia Department, Colombia",Light,64/84,$24.95/4 ounces,April 2021,9,9,8,9,8,,
Panama Boquete Flor De Mariposa Geisha Espresso,Kakalove Cafe,96,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,54/76,NT $500/8 ounces,March 2021,9,,9,9,9,10,
Costa Rica Aris Red Honey Lot 2002 Espresso,Kakalove Cafe,94,"Chia-Yi, Taiwan","Central Valley, Costa Rica",Medium-Light,52/70,NT $270/8 ounces,March 2021,9,,9,9,8,9,
Twisted V.6 Espresso,JBC Coffee Roasters,94,"Madison, Wisconsin",South America; Central America; Africa,Medium-Light,54/74,$15.75/12 ounces,March 2021,9,,9,9,8,9,
Rwanda Sholi,Temple Coffee Roasters,93,"Sacramento, California","Muhanga District, Southern Province, Rwanda",Medium-Light,59/77,$19.00/12 ounces,March 2021,9,9,8,9,8,,
Addis Katema,JBC Coffee Roasters,93,"Madison, Wisconsin","Wenango District, Gedeo Zone, Ethiopia",Light,62/80,$18.75/12 ounces,March 2021,9,9,8,9,8,,
Easter Sunrise Blend,Mystic Monk Coffee,92,"Meeteetse, Wyoming",Not disclosed,Medium,50/68,$14.99/12 ounces,March 2021,8,8,9,9,8,,
Peru Jheyner Roman,Temple Coffee Roasters,92,"Sacramento, California","Cajamarca region, northern Peru",Medium-Light,56/74,$19.00/12 ounces,March 2021,9,8,8,9,8,,
Colombia La Victoria,Temple Coffee Roasters,92,"Sacramento, California","Nariño Department, Colombia",Medium-Light,58/78,$19.00/12 ounces,March 2021,9,8,8,9,8,,
Aged Sumatra Ulos Batak 2015,Paradise Roasters,94,"Minneapolis, Minnesota","Lintong growing region, Sumatra, Indonesia",Medium,45/63,$18.95/12 ounces,March 2021,9,8,9,9,9,,
Kona Uluwehi SL34,Paradise Roasters,94,"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,60/80,$29.95/4 ounces,March 2021,9,9,9,9,8,,
Colombia Pink Bourbon Finca El Chaparote,Paradise Roasters,94,"Minneapolis, Minnesota","Huila Department, Colombia",Light,64/82,$14.95/6 ounces,March 2021,9,9,9,9,8,,
Brazil Daterra Aramosa Anaerobic Honey,Paradise Roasters,93,"Minneapolis, Minnesota","Cerrado growing region, Brazil",Light,64/84,$39.95/4 ounces,March 2021,9,8,9,9,8,,
Kona Classic Dark,Paradise Roasters,92,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium,46/62,$19.95/4 ounces,March 2021,8,8,9,9,8,,
Thailand Huai Mae Liam White Honey,Paradise Roasters,92,"Minneapolis, Minnesota","Huai Mae Liam, Chiang Rai, Thailand",Light,64/80,$24.95/12 ounces,March 2021,9,8,8,9,8,,
Peru Buena Vista Valerio Almanza Ccahua,SkyTop Coffee,94,"Manlius, New York","Cusco, Peru",Medium-Light,60/78,$27.00/8 ounces,March 2021,9,9,9,9,8,,
Honduro-Spro,RamsHead Coffee Roasters,92,"Bozeman, Montana","San José, La Paz Department, Honduras",Medium-Light,56/74,$15.95/12 ounces,March 2021,8,,9,8,8,9,
Costa Rica La Pastora Honey,RamsHead Coffee Roasters,92,"Bozeman, Montana","Tarrazu, Costa Rica",Medium-Light,60/76,$16.95/12 ounces,March 2021,9,8,8,9,8,,
Colombia Cauca El Paraiso,SOT Coffee Roaster,96,"Osaka, Japan","Cauca, Colombia",Light,85/105,"¥ 1,580/100 grams",March 2021,9,9,9,10,9,,
Taiwan Songyue Geisha,SOT Coffee Roaster,94,"Osaka, Japan","Yunlin, Taiwan",Light,79/92,"¥ 2,640/50 grams",March 2021,9,9,9,9,8,,
Josh Daniels Grateful Blend,Magnolia Coffee,92,"Charlotte, North Carolina",Papua New Guinea; Colombia,Medium-Light,54/74,$15.00/12 ounces,March 2021,9,8,8,9,8,,
Monte Alban Mexico,JBC Coffee Roasters,93,"Madison, Wisconsin","Yautepec/Miahuatlan, Oaxaca State, Mexico",Medium-Light,58/78,$19.00/12 ounces,March 2021,9,9,8,9,8,,
Guatemala Las Victorias Euphora Special Lot,Euphora Coffee,93,"Taipei, Taiwan","Fraijanes Plateau, Guatemala",Medium-Light,60/80,$10.00/8 ounces,March 2021,9,8,9,9,8,,
Kenya Kirinyaga Baragwi Karumandi AA,Durango Coffee Company,94,"Durango, Colorado",South-central Kenya,Medium-Light,54/74,$16.95/12 ounces,March 2021,9,9,9,9,8,,
Harimau Tiger Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,54/74,$17.00/12 ounces,March 2021,9,9,9,9,8,,
San Antonio Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin","San Cristobal Cucho, San Marcos Department, Guatemala",Medium-Light,56/72,$20.00/12 ounces,March 2021,9,9,8,9,8,,
La Esperanza Colombia Estate,Durango Coffee Company,93,"Durango, Colorado","Valle de Cauca, Colombia",Medium-Light,54/70,$18.95/12 ounces,March 2021,9,8,9,9,8,,
La Coipa Peru,JBC Coffee Roasters,93,"Madison, Wisconsin","San Ignacio, Cajamarca Region, Peru",Medium-Light,58/76,$19.00/12 ounces,March 2021,9,8,9,9,8,,
Thailand Pink Valley Natural,Paradise Roasters,93,"Minneapolis, Minnesota","Chiang Rai Province, Thailand",Medium-Light,60/80,$24.95/12 ounces,March 2021,9,9,8,9,8,,
Indonesia Golden Sumatra TP Espresso,GK Coffee,96,"Yilan, Taiwan","Aceh Province, Sumatra, Indonesia",Medium,44/62,NT $450/200 grams,March 2021,9,,9,10,9,9,
Kenya Gachatha,Temple Coffee Roasters,95,"Sacramento, California",South-central Kenya,Medium-Light,54/72,$22.50/12 ounces,February 2021,9,9,9,9,9,,
Ethiopia Suke Quto Single-Origin Espresso,Temple Coffee Roasters,94,"Sacramento, California","Guji Zone, Oromia Region, south-central Ethiopia",Medium-Light,52/72,$19.00/12 ounces,February 2021,9,,9,9,8,9,
Ethiopia Gera Limu,Temple Coffee Roasters,94,"Sacramento, California","Oromia growing region, southern Ethiopia",Medium-Light,58/80,$19.00/12 ounces,February 2021,9,9,9,9,8,,
Peru Tambopata,Temple Coffee Roasters,93,"Sacramento, California","Puno, Sandia Valley, Peru",Medium,52/68,$19.00/12 ounces,February 2021,9,8,9,9,8,,
Ka’u Pink Honey,Paradise Roasters,94,"Minneapolis, Minnesota","Ka'u District, Big Island of Hawai’i",Light,64/84,$24.95/4 ounces,February 2021,9,9,9,9,8,,
Kona Maragogype Pink Honey,Paradise Roasters,94,"Minneapolis, Minnesota","Kainaliu, Kona District, Big Island of Hawai’i",Light,64/86,$29.95/4 ounces,February 2021,9,9,9,9,8,,
Ecuador La Hormiga “Naty”,Paradise Roasters,93,"Minneapolis, Minnesota","Chito, Zamora Chinchipe, Ecuador",Light,547/74,$22.95/12 ounces,February 2021,9,8,9,9,8,,
Guatemala Coffea Diversa Geisha Queen Honey,Paradise Roasters,93,"Minneapolis, Minnesota","Suchitan, Guatemala",Light,62/80,$24.95/4 ounces,February 2021,9,9,8,9,8,,
Costa Rica Anaerobic,Jackrabbit Java,93,"Thermopolis, Wyoming",Costa Rica,Medium-Light,54/72,$20.00/12 ounces,February 2021,9,8,9,9,8,,
Rwanda Triple-Washed,Jackrabbit Java,92,"Thermopolis, Wyoming","Nyamasheke District, Rwanda",Medium-Light,58/76,$20.00/12 ounces,February 2021,9,8,8,9,8,,
Colombia Finca El Caucho Pink Bourbon,Paradise Roasters,95,"Minneapolis, Minnesota","Huila, Colombia",Light,62/80,$16.95/6 ounces,February 2021,9,9,9,9,9,,
Colombia Antioquia Natural Carbonic Maceration Caturra,Kakalove Cafe,95,"Chia-Yi, Taiwan","Antioquia Department, Colombia",Medium-Light,60/80,NT $310/8 ounces,February 2021,9,9,9,9,9,,
Aces La Juntas,JBC Coffee Roasters,93,"Madison, Wisconsin","Chinas, San Agustín, Huila, Colombia",Light,60/82,$18.65/8 ounces,February 2021,9,9,8,9,8,,
Angamaza,JBC Coffee Roasters,94,"Madison, Wisconsin","Conganama, Loja Province, Ecuador",Medium-Light,60/78,$20.00/12 ounces,February 2021,9,9,9,9,8,,
Colombia La Virgen Microlot,RamsHead Coffee Roasters,92,"Bozeman, Montana","Liboriana Valley, Antioquia Department, Colombia",Medium-Light,53/70,$15.95/12 ounces,February 2021,9,8,8,9,8,,
Rayo del Sol,JBC Coffee Roasters,93,"Madison, Wisconsin","Panchia, Tabaconas, Cajamarca Region, Peru",Medium-Light,58/78,$18.00/12 ounces,February 2021,9,9,8,9,8,,
Rock the House Blend,JBC Coffee Roasters,93,"Madison, Wisconsin",Africa; South America; Central America,Medium-Light,58/80,$15.75/12 ounces,February 2021,9,8,9,9,8,,
Honduras Catuai/Bourbon,Spirit Animal Coffee,92,"Santa Rosa de Copan, Honduras","Tres Cruces, Lempira Department, Honduras",Medium-Light,56/72,$39.00/12 ounces,January 2021,9,8,8,9,8,,
Kona Geisha Champagne Natural,Paradise Roasters,95,"Minneapolis, Minnesota","Kealakekua, Kona, Big Island of Hawaii",Light,64/84,$74.95/4 ounces,January 2021,9,9,9,9,9,,
Dafis Abafita Natural Ethiopia,PT's Coffee Roasting Co.,95,"Topeka, Kansas","Oromia Region, Jimma Zone, Ethiopia",Light,64/84,$21.50/12 ounces,January 2021,9,9,9,9,9,,
Berg Wu Championship Sidamo Washed G1 Lot 20-02,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Light,64/84,NT $340/8 ounces,January 2021,9,9,9,9,9,,
Ethiopia Natural Hambela Wate,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,NT $310/8 ounces,January 2021,9,9,9,9,9,,
Kinini Village Rwanda,PT's Coffee Roasting Co.,94,"Topeka, Kansas","Northern Province, Rulindo District, Rwanda",Medium-Light,58/76,$20.00/12 ounces,January 2021,9,9,9,9,8,,
Ethiopia Natural Guji Uraga G1 Lot 20-05,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $375/8 ounces,January 2021,9,9,9,9,8,,
Ethiopia Honey Yirgacheffe Koke,Oceana Coffee,93,"Tequesta, Florida","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/77,$22.00/12 ounces,January 2021,9,8,9,9,8,,
