title,roaster,score,Roaster Location,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,coffee_name,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Est. Price USD_per_ounce,region,whole-bean_Agtron,ground-bean_Agtron,Roast Level_Dark,Roast Level_Light,Roast Level_Medium,Roast Level_Medium-Dark,Roast Level_Medium-Light
Putra Gayo Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-03-01,9.0,9.0,9,9,8.0,Putra Gayo Sumatra,0,0,0,0,1,0,23.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.15452618947752542,asia_pacific,59.0,77.0,0,0,0,0,1
El Salvador Finca Plan de Hoyo,Conscious Cup Coffee Roasters,93,"Crystal Lake, Illinois",2024-12-01,9.0,9.0,8,9,8.0,El Salvador Finca Plan de Hoyo,0,0,1,0,0,0,23.00/12 ounces,0.8167712404079487,-0.45493864721550525,-0.7743942097440237,-0.0727040195129975,-0.4673694436174605,0.3646195075471771,-0.15452618947752542,central_america,62.0,84.0,0,1,0,0,0
Colombia FUDAM Nariño,Lexington Coffee Roasters,92,"Lexington, Virginia",2020-11-01,9.0,8.0,8,9,8.0,Colombia FUDAM Nariño,0,0,0,0,0,0,18.95/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.21599476633397288,,58.0,76.0,0,0,0,0,1
African Romance Blend,Coffeebox Coffee,93,"Taipei, Taiwan",2023-09-01,9.0,8.0,9,9,8.0,African Romance Blend,1,0,0,0,0,1,13.20/454 grams,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.4166715907770809,africa_arabia,54.0,72.0,0,0,0,0,1
Ethiopia Washed Gute 74110 Lot JH,Kakalove Cafe,95,"Chia-Yi, Taiwan",2024-11-01,9.0,9.0,9,9,9.0,Ethiopia Washed Gute 74110 Lot JH,1,0,0,0,0,0,14.40/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.17622098130921274,africa_arabia,60.0,82.0,0,1,0,0,0
Ethiopia Sasaba Guji,Temple Coffee,93,"Sacramento, California",2024-02-01,9.0,8.0,9,9,8.0,Ethiopia Sasaba Guji,1,0,0,0,0,0,24.50/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.13283139764583804,africa_arabia,57.0,76.0,0,0,0,0,1
Ethiopia Guji Hambela G1 Kudume Wolicho Honey,GK Coffee,93,"Yilan, Taiwan",2022-01-01,9.0,9.0,8,9,8.0,Ethiopia Guji Hambela G1 Kudume Wolicho Honey,1,0,0,0,0,0,19.50/200 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.3768978057523208,africa_arabia,62.0,80.0,0,1,0,0,0
Nkanda #7 Burundi,JBC Coffee Roasters,92,"Madison, Wisconsin",2024-01-01,8.0,8.0,9,9,8.0,Nkanda #7 Burundi,1,0,0,0,0,0,21.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.18526047790574915,africa_arabia,58.0,78.0,0,0,0,0,1
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California",2022-11-01,9.0,9.0,9,9,8.0,Ethiopia Reko Yirgacheffe,1,0,0,0,0,0,23.50/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.14729459220029628,africa_arabia,60.0,76.0,0,0,0,0,1
Ethiopia Yirgacheffe Adame Washed Process,Buon Caffe,93,"Taipei, Taiwan",2023-06-01,9.0,9.0,8,9,8.0,Ethiopia Yirgacheffe Adame Washed Process,1,0,0,0,0,0,9.00/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.29915813502210775,africa_arabia,60.0,74.0,0,0,0,0,1
Sítio Pedra Menina,Mostra Coffee,93,"San Diego, California",2022-05-01,8.0,9.0,9,9,8.0,Sítio Pedra Menina,0,0,0,0,0,0,16.00/5 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,0.07688492339380643,,60.0,77.0,0,0,0,0,1
Colombia Turron,Utopian Coffee,94,"Fort Wayne, Indiana",2024-01-01,9.0,9.0,9,9,8.0,Colombia Turron,0,0,0,0,0,0,10.00/4 ounces (sold only as a two-pack),0.7002331977516547,-0.42262493822620206,-0.57830438203981,-0.5291159027084525,0.008023509761673183,0.9035925950336764,-0.04966802895770318,,58.0,78.0,0,0,0,0,1
Gesha Spirits,Mostra Coffee,95,"San Diego, California",2023-07-01,9.0,9.0,9,9,9.0,Gesha Spirits,0,0,0,0,0,0,48.00/10 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,0.3661488144829711,,62.0,80.0,0,1,0,0,0
Ethiopia Dale,Speedwell Coffee,93,"Plymouth, Massachusetts",2024-10-01,9.0,9.0,8,9,8.0,Ethiopia Dale,1,0,0,0,0,0,17.00/12 ounces,0.7868154897700276,-0.2764244731271559,0.18298553728243164,0.696676012159341,-0.7578873595713749,-0.6816223681619094,-0.2449211554428894,africa_arabia,62.0,80.0,0,1,0,0,0
Guatemala La Flor Limited Edition,Buon Caffe,90,"Taipei, Taiwan",2024-04-01,8.0,8.0,8,8,8.0,Guatemala La Flor Limited Edition,0,0,1,0,0,0,10.50/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.2648080479552694,central_america,63.0,80.0,0,1,0,0,0
Nayamasasa Democratic Republic of the Congo,Roadmap CoffeeWorks,93,"Lexington, Virginia",2021-04-01,9.0,9.0,8,9,8.0,Nayamasasa Democratic Republic of the Congo,1,0,0,0,0,0,18.95/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.21599476633397288,africa_arabia,60.0,80.0,0,0,0,0,1
Ethiopia Yirgacheffe Yeast Process,Revel Coffee,93,"Billings, Montana",2023-06-01,9.0,9.0,8,9,8.0,Ethiopia Yirgacheffe Yeast Process,1,0,0,0,0,0,21.50/12 ounces,1.172701074172004,-0.6601525148480856,-1.1319697779105313,-0.5291159027084525,-0.28249440619224214,-0.9352567622732032,-0.17802888062852001,africa_arabia,59.0,74.0,0,0,0,0,1
Ethiopia Sidama Bona Sweet Natural,Pro Aroma Enterprise Coffee,94,"Taichung City, Taiwan",2021-06-01,9.0,9.0,9,9,8.0,Ethiopia Sidama Bona Sweet Natural,1,0,0,0,0,0,20.00/12 ounces,-0.9980762643575087,1.6700354283510692,1.0596224140777404,0.12290107328505467,0.9588094165199407,2.140060266326233,-0.1997236724602074,africa_arabia,62.0,80.0,0,1,0,0,0
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,94,"Lexington, Virginia",2023-02-01,9.0,9.0,9,9,8.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,20.95/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.18526047790574915,africa_arabia,64.0,82.0,0,1,0,0,0
Ignacio Quintero Colombia,JBC Coffee Roasters,95,"Madison, Wisconsin",2020-06-01,9.0,9.0,9,9,9.0,Ignacio Quintero Colombia,0,0,0,0,0,0,18.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.23045796088843112,,58.0,78.0,0,0,0,0,1
Laura’s Reserve SL34,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i",2020-10-01,9.0,9.0,9,9,9.0,Laura’s Reserve SL34,0,0,0,1,0,0,62.95/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,0.9211739055103061,hawaii,60.0,78.0,0,0,0,0,1
Sumatra Aceh Gayo Mountain Musara Honey Process,Buon Caffe,93,"Taipei, Taiwan",2022-08-01,9.0,8.0,9,9,8.0,Sumatra Aceh Gayo Mountain Musara Honey Process,0,0,0,0,1,0,11.97/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.23045796088843112,asia_pacific,60.0,77.0,0,0,0,0,1
Costa Rica La Rejolla Washed Geisha,Willoughby's Coffee & Tea,94,"Branford, Connecticut",2021-11-01,9.0,9.0,9,9,8.0,Costa Rica La Rejolla Washed Geisha,0,0,1,0,0,0,49.99/16 ounces,0.7202611536780154,-0.29730434930743804,-0.02463898616908872,0.7227566911990813,-0.5201908828818085,-0.9352567622732032,0.06242172883934818,central_america,58.0,80.0,0,0,0,0,1
Kona Mocca®,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i",2020-11-01,10.0,9.0,9,10,8.0,Kona Mocca®,0,0,0,1,0,0,74.95/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,1.1923588034063977,hawaii,52.0,70.0,0,0,0,0,1
Kona Uluwehi SL34,Paradise Roasters,94,"Minneapolis, Minnesota",2021-03-01,9.0,9.0,9,9,8.0,Kona Uluwehi SL34,0,0,0,1,0,0,29.95/4 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,0.8524737313766293,hawaii,60.0,80.0,0,0,0,0,1
Bella Carmona Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin",2023-05-01,9.0,8.0,9,9,8.0,Bella Carmona Guatemala,0,0,1,0,0,0,19.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.21599476633397288,central_america,58.0,76.0,0,0,0,0,1
Colombia Black Condor,Durango Coffee Company,93,"Durango, Colorado",2024-07-01,9.0,9.0,8,9,8.0,Colombia Black Condor,0,0,0,0,0,0,21.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.1707972833512909,,62.0,82.0,0,1,0,0,0
Guatemala Honey Acatenango Finca El General Bourbon,Kakalove Cafe,93,"Chia-Yi, Taiwan",2023-09-01,9.0,8.0,9,9,8.0,Guatemala Honey Acatenango Finca El General Bourbon,0,0,1,0,0,0,8.40/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.3118134302572587,central_america,58.0,74.0,0,0,0,0,1
Honduras Blue Hole Estate,David's Nose,93,"Taipei, Taiwan",2022-03-01,9.0,8.0,9,9,8.0,Honduras Blue Hole Estate,0,0,1,0,0,0,12.00/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.23045796088843112,central_america,58.0,76.0,0,0,0,0,1
Guatemala Maravilla La Cumbre Washed Pache,Corvus Coffee,93,"Denver, Colorado",2024-12-01,9.0,8.0,9,9,8.0,Guatemala Maravilla La Cumbre Washed Pache,0,0,1,0,0,0,15.00/8 ounces,0.5656687542527391,-0.6244462169992683,-1.558753520560879,-0.5291159027084525,-1.6030303878009464,-0.9352567622732032,-0.16175778675475452,central_america,64.0,82.0,0,1,0,0,0
Colombia Huila La Florida Natural Selective,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan",2025-01-01,9.0,9.0,8,9,8.0,Colombia Huila La Florida Natural Selective,0,0,0,0,0,0,14.40/8 ounces,-0.9976207988699384,1.6700655409800775,1.0596224140777404,0.12290107328505467,0.9588094165199407,2.140060266326233,-0.17622098130921274,,59.0,81.0,0,0,0,0,1
El Faldon Colombia,JBC Coffee Roasters,93,"Madison, Wisconsin",2024-11-01,9.0,8.0,9,9,8.0,El Faldon Colombia,0,0,0,0,0,0,25.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1255998003686089,,58.0,76.0,0,0,0,0,1
5a Sur,El Gran Cafe,92,"Antigua, Guatemala",2023-08-01,9.0,8.0,8,9,8.0,5a Sur,0,0,1,0,0,0,6.00/12 ounces,-1.961763242571951,-0.479523159286412,1.0826918055723538,-0.5291159027084525,-1.1540481540539862,-0.30117077699496886,-0.4112478928191591,central_america,57.0,74.0,0,0,0,0,1
Finca Santa Isabel,El Gran Cafe,93,"Antigua, Guatemala",2023-08-01,9.0,9.0,8,9,8.0,Finca Santa Isabel,0,0,1,0,0,0,17.00/12 ounces,-1.961763242571951,-0.479523159286412,1.0826918055723538,-0.5291159027084525,-1.1540481540539862,-0.30117077699496886,-0.2449211554428894,central_america,57.0,74.0,0,0,0,0,1
Hawai’i Ka‘ū Champagne Natural,Paradise Roasters,94,"Hilo, Hawaii",2023-03-01,9.0,9.0,9,9,8.0,Hawai’i Ka‘ū Champagne Natural,0,0,0,1,0,0,25.00/4 ounces,-1.4470258785804058,-1.1340826298699271,1.497940852475395,-0.46391420510910186,-0.2560836865600677,-0.8084395652175563,0.6282942157825266,hawaii,60.0,78.0,0,0,0,0,1
Hacienda La Esmeralda Buenos Aires Geisha Natural,PT's Coffee Roasting Co.,95,"Topeka, Kansas",2020-10-01,9.0,9.0,9,9,9.0,Hacienda La Esmeralda Buenos Aires Geisha Natural,0,0,1,0,0,0,65.00/8 ounces,0.4963944217469875,-0.5297980388776401,-0.5667696862925033,-0.5291159027084525,0.37777358461211,1.9181301714788512,0.9663713884929878,central_america,54.0,70.0,0,0,0,0,1
Chelbessa Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin",2022-12-01,9.0,9.0,9,9,8.0,Chelbessa Ethiopia,1,0,0,0,0,0,20.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1997236724602074,africa_arabia,60.0,78.0,0,0,0,0,1
Ethiopia Natural Sidama ALO Village SKY Project FL,Kakalove Cafe,94,"Chia-Yi, Taiwan",2024-11-01,8.0,9.0,9,9,9.0,Ethiopia Natural Sidama ALO Village SKY Project FL,1,0,0,0,0,0,14.70/4 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,0.16185619140124852,africa_arabia,60.0,77.0,0,0,0,0,1
Gesha Spirits,Mostra Coffee,96,"San Diego, California",2024-07-01,9.0,9.0,9,10,9.0,Gesha Spirits,0,0,0,0,0,0,37.00/8 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,0.3336066267354401,,64.0,88.0,0,1,0,0,0
Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,94,"Sacramento, California",2020-09-01,9.0,9.0,9,9,8.0,Ethiopia Reko Yirgacheffe,1,0,0,0,0,0,20.50/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.19249207518297826,africa_arabia,60.0,76.0,0,0,0,0,1
Ethiopia Guji Washed G1 Uncle Select Lot 21/01,GK Coffee,93,"Yilan, Taiwan",2022-01-01,9.0,9.0,8,9,8.0,Ethiopia Guji Washed G1 Uncle Select Lot 21/01,1,0,0,0,0,0,16.50/200 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.39678469826470086,africa_arabia,58.0,74.0,0,0,0,0,1
Palo de Rosa Pink Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-06-01,9.0,9.0,9,9,8.0,Palo de Rosa Pink Bourbon Colombia,0,0,0,0,0,0,22.00/8 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.004470545975021189,,61.0,79.0,0,0,0,0,1
La Candelilla Geisha Natural Costa Rica,JBC Coffee Roasters,95,"Madison, Wisconsin",2023-10-01,9.0,9.0,9,9,9.0,La Candelilla Geisha Natural Costa Rica,0,0,1,0,0,0,19.00/8 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.07136282078939055,central_america,59.0,77.0,0,0,0,0,1
Candelilla Geisha Natural,JBC Coffee Roasters,95,"Madison, Wisconsin",2021-09-01,9.0,9.0,9,9,9.0,Candelilla Geisha Natural,0,0,1,0,0,0,21.50/8 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.015317941890864877,central_america,62.0,80.0,0,1,0,0,0
Bella Carmona Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin",2020-06-01,9.0,8.0,9,9,8.0,Bella Carmona Guatemala,0,0,1,0,0,0,17.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.2449211554428894,central_america,56.0,74.0,0,0,0,0,1
Guatemala Hunapu,Temple Coffee,92,"Sacramento, California",2023-01-01,9.0,8.0,8,9,8.0,Guatemala Hunapu,0,0,1,0,0,0,22.00/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.1707972833512909,central_america,59.0,75.0,0,0,0,0,1
Taiwan Natural Alishan Zhuo-Wu Geisha,Kakalove Cafe,95,"Chia-Yi, Taiwan",2022-10-01,9.0,9.0,9,9,9.0,Taiwan Natural Alishan Zhuo-Wu Geisha,0,0,0,0,1,0,18.00/50 grams,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.38774520166816445,asia_pacific,60.0,78.0,0,0,0,0,1
Kona SL34 Champagne Natural Uluwehi Farm,Paradise Roasters,94,"Minneapolis, Minnesota",2022-05-01,9.0,9.0,9,9,8.0,Kona SL34 Champagne Natural Uluwehi Farm,0,0,0,1,0,0,30.00/4 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,0.8542816306959365,hawaii,57.0,74.0,0,0,0,0,1
Karamo Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin",2022-06-01,9.0,9.0,9,9,8.0,Karamo Ethiopia,1,0,0,0,0,0,19.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.21599476633397288,africa_arabia,60.0,78.0,0,0,0,0,1
Honduras Delmy Regalado Octopeque,Temple Coffee,93,"Sacramento, California",2024-01-01,9.0,8.0,8,9,9.0,Honduras Delmy Regalado Octopeque,0,0,1,0,0,0,22.00/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.1707972833512909,central_america,55.0,73.0,0,0,0,0,1
Kenya Nyeri Hill,Roadmap CoffeeWorks,94,"Lexington, Virginia",2024-05-01,9.0,9.0,9,9,8.0,Kenya Nyeri Hill,1,0,0,0,0,0,22.00/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.1707972833512909,africa_arabia,62.0,80.0,0,1,0,0,0
Colombia Edwin Enrique Noreña / Black Honey Pink Bourbon Mosto & Passionfruit Co-Ferment,Little Waves Coffee,94,"Durham, North Carolina",2024-06-01,9.0,9.0,9,9,8.0,Colombia Edwin Enrique Noreña / Black Honey Pink Bourbon Mosto & Passionfruit Co-Ferment,0,0,0,0,0,0,33.92/10 ounces (sold as a set of 3,0.19004512915562535,-0.35920149457388295,0.5059570182070191,-0.46391420510910186,0.4305950238764589,-0.7450309666897329,0.11123501046064473,,65.0,86.0,0,1,0,0,0
Ethiopia Gera Genji Challa,Mostra Coffee,94,"San Diego, California",2022-12-01,9.0,9.0,9,9,8.0,Ethiopia Gera Genji Challa,1,0,0,0,0,0,28.00/12 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.08040231738592692,africa_arabia,59.0,77.0,0,0,0,0,1
Costa Rica Anaerobic,Jackrabbit Java,93,"Thermopolis, Wyoming",2021-02-01,9.0,8.0,9,9,8.0,Costa Rica Anaerobic,0,0,1,0,0,0,20.00/12 ounces,0.9577770163190784,-0.6572641776549867,-1.108900386415918,-0.22918809375143925,-0.6786552006748534,-0.8084395652175563,-0.1997236724602074,central_america,54.0,72.0,0,0,0,0,1
Ethiopia Guji 1 Natural Hambela Lot 215,SkyTop Coffee,93,"Manlius, New York",2020-10-01,9.0,8.0,9,9,8.0,Ethiopia Guji 1 Natural Hambela Lot 215,1,0,0,0,0,0,18.00/12 ounces,0.893136436185945,-0.3294570721947058,-0.40528394583020966,-0.22918809375143925,-0.018387209870501277,1.0938183906171468,-0.23045796088843112,africa_arabia,60.0,74.0,0,0,0,0,1
Kenya Gichathaini,Temple Coffee,94,"Sacramento, California",2023-02-01,9.0,9.0,9,9,8.0,Kenya Gichathaini,1,0,0,0,0,0,25.00/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.1255998003686089,africa_arabia,64.0,82.0,0,1,0,0,0
Vietnam Robusta Carbonic Maceration,Paradise Roasters,92,"Minneapolis, Minnesota",2022-09-01,9.0,8.0,8,9,8.0,Vietnam Robusta Carbonic Maceration,0,0,0,0,1,0,25.00/12 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,-0.1255998003686089,asia_pacific,52.0,70.0,0,0,0,0,1
Coffea Diversa Liberica Carbonic Maceration,Paradise Roasters,93,"Minneapolis, Minnesota",2020-06-01,9.0,8.0,8,9,9.0,Coffea Diversa Liberica Carbonic Maceration,0,0,1,0,0,0,19.95/12 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,-0.20153157177951467,central_america,62.0,80.0,0,1,0,0,0
Asobombo Colombia,JBC Coffee Roasters,93,"Madison, Wisconsin",2023-05-01,9.0,9.0,8,9,8.0,Asobombo Colombia,0,0,0,0,0,0,20.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1997236724602074,,58.0,76.0,0,0,0,0,1
Ethiopia Yirgacheffe Adame G1 Washed 95,Buon Caffe,95,"Taipei, Taiwan",2024-06-01,9.0,9.0,9,9,9.0,Ethiopia Yirgacheffe Adame G1 Washed 95,1,0,0,0,0,0,9.57/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.28469494046764954,africa_arabia,67.0,92.0,0,1,0,0,0
Nano Genji #12 Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin",2023-07-01,9.0,9.0,9,9,9.0,Nano Genji #12 Ethiopia,1,0,0,0,0,0,23.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.15452618947752542,africa_arabia,58.0,74.0,0,0,0,0,1
Putra Gayo Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-06-01,9.0,9.0,9,9,8.0,Putra Gayo Sumatra,0,0,0,0,1,0,23.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.15452618947752542,asia_pacific,60.0,88.0,0,1,0,0,0
Guatemala Finca El General Slow Dry 6,Kakalove Cafe,94,"Chia-Yi, Taiwan",2021-10-01,9.0,9.0,9,9,8.0,Guatemala Finca El General Slow Dry 6,0,0,1,0,0,0,11.25/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.24672905476219667,central_america,58.0,78.0,0,0,0,0,1
Nicaragua La Bendicion Yellow Maracaturra Natural,Paradise Roasters,94,"Minneapolis, Minnesota",2021-08-01,9.0,9.0,9,9,8.0,Nicaragua La Bendicion Yellow Maracaturra Natural,0,0,1,0,0,0,14.95/6 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,-0.05147592827701042,central_america,64.0,86.0,0,1,0,0,0
Kolla Bolcha #6 Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-11-01,9.0,9.0,8,9,9.0,Kolla Bolcha #6 Ethiopia,1,0,0,0,0,0,20.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1997236724602074,africa_arabia,60.0,79.0,0,0,0,0,1
Costa Rica Tarrazu,Jaunt Coffee Roasters,93,"San Diego, California",2025-02-01,9.0,8.0,9,9,8.0,Costa Rica Tarrazu,0,0,1,0,0,0,22.00/12 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.1707972833512909,central_america,58.0,80.0,0,0,0,0,1
Ethiopia Yirgacheffe Gutiti Gargari Natural,Cozy House Coffee,94,"Taipei City, Taiwan",2024-11-01,9.0,9.0,9,9,8.0,Ethiopia Yirgacheffe Gutiti Gargari Natural,1,0,0,0,0,0,13.50/227 grams,-0.9097696047531539,1.679362059498081,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.41486369145777363,africa_arabia,60.0,77.0,0,0,0,0,1
El Salvador Monte Verde,Speedwell Coffee,93,"Plymouth, Massachusetts",2024-08-01,9.0,9.0,8,9,8.0,El Salvador Monte Verde,0,0,1,0,0,0,16.00/12 ounces,0.7868154897700276,-0.2764244731271559,0.18298553728243164,0.696676012159341,-0.7578873595713749,-0.6816223681619094,-0.26119224931665486,central_america,62.0,84.0,0,1,0,0,0
Kuta Kofi Papua New Guinea,JBC Coffee Roasters,93,"Madison, Wisconsin",2022-05-01,9.0,8.0,9,9,8.0,Kuta Kofi Papua New Guinea,0,0,0,0,1,0,18.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.23045796088843112,asia_pacific,57.0,74.0,0,0,0,0,1
Colombia Geisha,Jaunt Coffee Roasters,94,"San Diego, California",2022-08-01,9.0,9.0,9,9,8.0,Colombia Geisha,0,0,0,0,0,0,24.00/8 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,0.0407269370076608,,58.0,76.0,0,0,0,0,1
Gigesa Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin",2022-04-01,9.0,9.0,9,9,8.0,Gigesa Ethiopia,1,0,0,0,0,0,19.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.21599476633397288,africa_arabia,56.0,74.0,0,0,0,0,1
